"ID";"Фильм";"Страна";"Год"
"14";"Престиж";"США";"2006"
"0";"Побег из Шоушенка";"США";"1994"
"1";"Зелёная миля";"США";"1999"
"8";"Бойцовский клуб";"США";"1999"
"2";"Форрест Гамп";"США";"1994"
"3";"Список Шиндлера";"США";"1993"
