"﻿ID";"Фильм";"Страна";"Год";"Жанр"
"0";"Леон";"Франция";"1994";"триллер, драма, криминал"
"1";"Бойцовский клуб";"США, Германия";"1999";"триллер, драма, криминал"
"2";"Крестный отец";"США";"1972";"драма, криминал"
"3";"Криминальное чтиво";"США";"1994";"триллер, комедия, криминал"
